date,regime,actual_y1y,q10,q50,q74,interval_width,actual_in_band
2024-04-17,Easing,4.205771338192518,3.512894560918132,4.827908761123426,5.268573595822225,1.7556790349040932,1
2024-04-18,Easing,4.20679584638194,3.5129999614181853,4.827985112859517,5.268217989805394,1.7552180283872088,1
2024-04-19,Easing,4.214214358658241,3.512425743706406,4.827422567309693,5.26730808773666,1.7548823440302534,1
2024-04-22,Easing,4.162730921294623,3.512318587994029,4.827455740822615,5.267000223495039,1.7546816355010098,1
2024-04-23,Easing,4.13763398143418,3.51219993564093,4.827610550549587,5.2668733216440184,1.7546733860030885,1
2024-04-24,Easing,4.094744107021915,3.512437064825895,4.827206676193847,5.266444874315742,1.7540078094898472,1
2024-04-25,Easing,4.063256814028997,3.512152720429416,4.8264398239295145,5.2656487100056,1.7534959895761837,1
2024-04-26,Easing,4.041081616659723,3.511406579670506,4.825460590973984,5.26454046894426,1.7531338892737538,1
2024-04-29,Easing,4.11842256181627,3.5112042036895548,4.8254509373062024,5.264375127943344,1.7531709242537894,1
2024-04-30,Easing,4.184830745238812,3.511353660018939,4.826561460143564,5.2652548403601065,1.7539011803411677,1
2024-05-01,Easing,4.198837965135394,3.5109160855865786,4.826782967938846,5.2651198645323944,1.7542037789458158,1
2024-05-02,Easing,4.165604511228872,3.5115191765410874,4.827546660820996,5.265607286994755,1.7540881104536679,1
2024-05-03,Easing,4.15305381403314,3.512413457220138,4.82814290644744,5.266244780110813,1.7538313228906746,1
2024-05-06,Easing,4.228722480962044,3.5135039706370064,4.829343822719485,5.267646843715182,1.7541428730781758,1
2024-05-07,Easing,4.226802603070557,3.514187099273487,4.830124365639945,5.2687343732711,1.7545472739976127,1
2024-05-08,Easing,4.300666388937733,3.5148220473316747,4.830708500301354,5.269652349316523,1.7548303019848484,1
2024-05-09,Easing,4.324154270795218,3.5150121368263583,4.831056909947657,5.270225952703989,1.7552138158776311,1
2024-05-10,Easing,4.354206772027844,3.5155250098674156,4.831400931563151,5.270854669758427,1.7553296598910118,1
2024-05-13,Easing,4.289367290117333,3.515320176589211,4.831477809862941,5.270995964350505,1.7556757877612945,1
2024-05-14,Easing,4.287739983801061,3.5154209257766054,4.831598919513292,5.271180086123287,1.755759160346682,1
2024-05-15,Easing,4.301714783667675,3.515808915460814,4.831795152251109,5.271538324958605,1.7557294094977913,1
2024-05-16,Easing,4.310309536600329,3.5168882832794255,4.832198149000688,5.272470167181389,1.7555818839019635,1
2024-05-17,Easing,4.361945569604695,3.517016852582154,4.832335582125653,5.273058514352376,1.7560416617702215,1
2024-05-20,Easing,4.346179413282805,3.5167655939379814,4.832302408612731,5.273289500294207,1.7565239063562257,1
2024-05-21,Easing,4.3341993779743415,3.5165055592321885,4.832233253247167,5.273324429019453,1.7568188697872649,1
2024-05-22,Easing,4.287629570124707,3.5165953383425586,4.832255017879984,5.273460106932095,1.7568647685895367,1
2024-05-23,Easing,4.312013908892626,3.516434034329988,4.832206398498611,5.273428162067798,1.7569941277378103,1
2024-05-24,Easing,4.279011224938497,3.5159104544937545,4.832023505374455,5.2730474565147345,1.75713700202098,1
2024-05-28,Easing,4.262076692748716,3.515723524381254,4.831918543677483,5.272715896906741,1.7569923725254868,1
2024-05-29,Easing,4.302463988762535,3.5150713752422913,4.831705636422589,5.2720724360687825,1.7570010608264912,1
2024-05-30,Easing,4.307669150889475,3.5143746437103003,4.831181881065122,5.271005266975822,1.7566306232655213,1
2024-05-31,Easing,4.239752631280598,3.514446080851885,4.831275960445686,5.270639305206279,1.7561932243543938,1
2024-06-03,Easing,4.263269191619754,3.5148388973699847,4.831447093647271,5.270605429608427,1.7557665322384421,1
2024-06-04,Easing,4.344238268297532,3.515993563797293,4.831813933022977,5.27120957369033,1.7552160098930365,1
2024-06-05,Easing,4.329061328536798,3.5171630617687395,4.832235008459491,5.2722837636325846,1.755120701863845,1
2024-06-06,Easing,4.31838032981396,3.51808226646279,4.832601847835196,5.273575424381778,1.7554931579189876,1
2024-06-07,Easing,4.279767971158166,3.518569074600837,4.832823706672943,5.274764229688787,1.7561951550879504,1
2024-06-10,Easing,4.241889812513129,3.5173135712255177,4.832491620501251,5.274681383667097,1.7573678124415797,1
2024-06-11,Easing,4.280686275107026,3.5166311446739673,4.832235886065653,5.2743752746378005,1.7577441299638332,1
2024-06-12,Easing,4.303208023430527,3.516865816561679,4.8322465928608285,5.274435653941744,1.757569837380065,1
2024-06-13,Easing,4.264026946888106,3.5176166963938633,4.832462308455442,5.275019437560689,1.757402741166826,1
2024-06-14,Easing,4.263537232607929,3.5185910147548864,4.832774736249105,5.276078532676959,1.7574875179220721,1
2024-06-17,Easing,4.244158776441462,3.5192560647044298,4.832997999256711,5.277229249876539,1.7579731851721094,1
2024-06-18,Easing,4.204812413715882,3.518778822473549,4.832874958872802,5.277671914424638,1.758893091951089,1
2024-06-20,Easing,4.170149662474527,3.5190815088388137,4.832931301188401,5.278393306689781,1.759311797850967,1
2024-06-21,Easing,4.162509616665784,3.518881151352035,4.83287408126664,5.278805781585908,1.7599246302338734,1
2024-06-24,Easing,4.13672035249497,3.5187426650996754,4.832821073854457,5.279118560422035,1.76037589532236,1
2024-06-25,Easing,4.160790219885764,3.518632086723267,4.832754200264914,5.279321287445452,1.7606892007221848,1
2024-06-26,Easing,4.136646842939826,3.5187391546750275,4.832753498179985,5.279630029293234,1.7608908746182061,1
2024-06-27,Easing,4.160670718956712,3.5179572075847094,4.832527426832661,5.279312511383832,1.7613553037991228,1
2024-06-28,Easing,4.181109690197342,3.51792026036529,4.832475121505407,5.279208427293021,1.7612881669277312,1
2024-07-01,Easing,4.2365324546522585,3.517344462962419,4.832328385755124,5.278759795023021,1.7614153320606016,1
