date,cusip,purchase_price,face_value,maturity_date,days_to_maturity,tau_remaining,current_yield,purchase_yield_pct,rate_change_bps,implied_price,unrealised_pnl,modified_duration,dv01,year,month_number,month_short,period_label
2011-08-17,912797UE5,96.439575,100.0,2027-04-17,5722,15.665982203969884,0.010602028433285908,3.6253539569941333,-256.51511136655427,84.69689966137358,-11.742675338626427,15.665982203969884,0.13268601228265015,2011,8,Aug,2011-08
2011-08-18,912797UE5,96.439575,100.0,2027-04-17,5721,15.663244353182751,0.01021647529822218,3.6253539569941333,-260.3706427171915,85.21240628972457,-11.227168710275436,15.663244353182751,0.13347027416386428,2011,8,Aug,2011-08
2011-08-19,912797UE5,96.439575,100.0,2027-04-17,5720,15.66050650239562,0.010119662035270873,3.6253539569941333,-261.3387753467046,85.34408576078484,-11.09548923921517,15.66050650239562,0.13365316099977803,2011,8,Aug,2011-08
2011-08-22,912797UE5,96.439575,100.0,2027-04-17,5717,15.652292950034223,0.010298253955085174,3.6253539569941333,-259.55285614856155,85.11292449115506,-11.32665050884495,15.652292950034223,0.13322124279697015,2011,8,Aug,2011-08
2011-08-23,912797UE5,96.439575,100.0,2027-04-17,5716,15.649555099247092,0.010499622236222422,3.6253539569941333,-257.5391733371891,84.84752051565742,-11.592054484342583,15.649555099247092,0.13278259473442788,2011,8,Aug,2011-08
2011-08-24,912797UE5,96.439575,100.0,2027-04-17,5715,15.646817248459959,0.01118969221267436,3.6253539569941333,-250.63847357266974,83.93872907109463,-12.500845928905377,15.646817248459959,0.13133739538434108,2011,8,Aug,2011-08
2011-08-25,912797UE5,96.439575,100.0,2027-04-17,5714,15.644079397672828,0.01086054776701399,3.6253539569941333,-253.92991802927338,84.37464269170135,-12.064932308298651,15.644079397672828,0.13199636094192513,2011,8,Aug,2011-08
2011-08-26,912797UE5,96.439575,100.0,2027-04-17,5713,15.641341546885695,0.010572518980480915,3.6253539569941333,-256.81020589460417,84.75814142033408,-11.68143357966592,15.641341546885695,0.1325731038834685,2011,8,Aug,2011-08
2011-08-29,912797UE5,96.439575,100.0,2027-04-17,5710,15.633127994524298,0.011003620507955765,3.6253539569941333,-252.49919061985565,84.19614852208132,-12.243426477918689,15.633127994524298,0.1316249166491675,2011,8,Aug,2011-08
2011-08-30,912797UE5,96.439575,100.0,2027-04-17,5709,15.630390143737166,0.010588705001740657,3.6253539569941333,-256.6483456820068,84.74651256123484,-11.693062438765168,15.630390143737166,0.1324621054653223,2011,8,Aug,2011-08
2011-08-31,912797UE5,96.439575,100.0,2027-04-17,5708,15.627652292950033,0.010830856353453934,3.6253539569941333,-254.226832164874,84.42886359504668,-12.010711404953327,15.627652292950033,0.13194249237522968,2011,8,Aug,2011-08
2011-09-01,912797UE5,96.439575,100.0,2027-04-17,5707,15.624914442162902,0.010447245167832861,3.6253539569941333,-258.0629440210847,84.93895942336064,-11.500615576639362,15.624914442162902,0.13271639737963564,2011,9,Sep,2011-09
